location_id,latitude,longitude,period_1_intensity_m,period_2_intensity_m,period_3_intensity_m,period_1_variance,period_2_variance,period_3_variance,hazard_type,unit
EUR_FLOO_000055,35.0,-5.14,1.521,1.759,2.177,0.257,0.302,0.538,flood,meters
EUR_FLOO_000056,35.0,-5.05,1.32,1.562,1.894,0.23,0.313,0.551,flood,meters
EUR_FLOO_000057,35.0,-4.96,1.479,1.702,2.149,0.366,0.328,0.523,flood,meters
EUR_FLOO_000058,35.0,-4.87,1.472,1.783,2.244,0.314,0.37,0.565,flood,meters
EUR_FLOO_000059,35.0,-4.78,1.327,1.583,2.098,0.252,0.338,0.577,flood,meters
EUR_FLOO_000060,35.0,-4.69,1.552,1.849,2.332,0.345,0.354,0.667,flood,meters
EUR_FLOO_000061,35.0,-4.6,1.584,1.95,2.575,0.381,0.454,0.72,flood,meters
EUR_FLOO_000062,35.0,-4.51,1.38,1.66,2.104,0.295,0.261,0.525,flood,meters
EUR_FLOO_000063,35.0,-4.42,1.348,1.62,2.156,0.332,0.403,0.487,flood,meters
EUR_FLOO_000064,35.0,-4.33,1.488,1.769,2.123,0.277,0.304,0.559,flood,meters
EUR_FLOO_000065,35.0,-4.24,1.569,1.833,2.301,0.297,0.429,0.539,flood,meters
EUR_FLOO_000066,35.0,-4.15,1.419,1.682,2.024,0.347,0.281,0.546,flood,meters
EUR_FLOO_000067,35.0,-4.06,1.458,1.767,2.265,0.351,0.384,0.497,flood,meters
EUR_FLOO_000068,35.0,-3.97,1.449,1.718,2.258,0.278,0.32,0.63,flood,meters
EUR_FLOO_000069,35.0,-3.88,1.651,1.977,2.55,0.27,0.397,0.695,flood,meters
EUR_FLOO_000070,35.0,-3.79,1.601,1.93,2.467,0.342,0.381,0.549,flood,meters
EUR_FLOO_000071,35.0,-3.7,1.493,1.784,2.299,0.35,0.401,0.669,flood,meters
EUR_FLOO_000072,35.0,-3.61,1.605,1.878,2.385,0.291,0.458,0.528,flood,meters
EUR_FLOO_000073,35.0,-3.52,1.536,1.799,2.363,0.3,0.339,0.542,flood,meters
EUR_FLOO_000074,35.0,-3.43,1.459,1.808,2.287,0.222,0.355,0.634,flood,meters
EUR_FLOO_000075,35.0,-3.34,1.634,1.935,2.507,0.333,0.324,0.722,flood,meters
EUR_FLOO_000076,35.0,-3.25,1.482,1.716,2.219,0.368,0.297,0.538,flood,meters
EUR_FLOO_000077,35.0,-3.16,1.466,1.829,2.384,0.317,0.282,0.525,flood,meters
EUR_FLOO_000078,35.0,-3.07,1.585,1.92,2.44,0.296,0.312,0.577,flood,meters
EUR_FLOO_000079,35.0,-2.98,1.596,1.866,2.423,0.241,0.452,0.518,flood,meters
EUR_FLOO_000080,35.0,-2.89,1.651,1.91,2.517,0.409,0.336,0.506,flood,meters
EUR_FLOO_000081,35.0,-2.8,1.456,1.735,2.089,0.257,0.397,0.507,flood,meters
EUR_FLOO_000082,35.0,-2.71,1.428,1.711,2.088,0.26,0.391,0.537,flood,meters
EUR_FLOO_000083,35.0,-2.62,1.687,2.03,2.617,0.411,0.366,0.57,flood,meters
EUR_FLOO_000084,35.0,-2.53,1.557,1.834,2.262,0.356,0.455,0.454,flood,meters
EUR_FLOO_000085,35.0,-2.44,1.619,2.003,2.429,0.388,0.365,0.627,flood,meters
EUR_FLOO_000086,35.0,-2.35,1.639,1.967,2.448,0.274,0.353,0.672,flood,meters
EUR_FLOO_000087,35.0,-2.26,1.561,1.897,2.458,0.357,0.416,0.537,flood,meters
EUR_FLOO_000088,35.0,-2.17,1.46,1.763,2.224,0.24,0.301,0.617,flood,meters
EUR_FLOO_000089,35.0,-2.08,1.496,1.867,2.483,0.31,0.336,0.512,flood,meters
EUR_FLOO_000090,35.0,-1.99,1.718,2.078,2.676,0.352,0.474,0.6,flood,meters
EUR_FLOO_000091,35.0,-1.9,1.491,1.734,2.143,0.25,0.305,0.53,flood,meters
EUR_FLOO_000092,35.0,-1.81,1.51,1.79,2.376,0.331,0.419,0.71,flood,meters
EUR_FLOO_000093,35.0,-1.72,1.503,1.821,2.311,0.274,0.372,0.623,flood,meters
EUR_FLOO_000094,35.0,-1.63,1.723,2.07,2.542,0.346,0.333,0.67,flood,meters
EUR_FLOO_000095,35.0,-1.54,1.542,1.862,2.374,0.311,0.445,0.573,flood,meters
EUR_FLOO_000096,35.0,-1.45,1.505,1.742,2.194,0.366,0.299,0.642,flood,meters
EUR_FLOO_000097,35.0,-1.36,1.695,2.009,2.51,0.262,0.446,0.663,flood,meters
EUR_FLOO_000098,35.0,-1.27,1.645,2.024,2.438,0.288,0.506,0.637,flood,meters
EUR_FLOO_000099,35.0,-1.18,1.577,1.823,2.203,0.276,0.335,0.479,flood,meters
EUR_FLOO_000100,35.0,-1.09,1.545,1.792,2.415,0.236,0.358,0.503,flood,meters
EUR_FLOO_000101,35.0,-1.0,1.571,1.897,2.279,0.345,0.37,0.548,flood,meters
EUR_FLOO_000102,35.0,-0.91,1.774,2.091,2.518,0.406,0.486,0.619,flood,meters
EUR_FLOO_000103,35.0,-0.82,1.64,1.977,2.623,0.266,0.319,0.633,flood,meters
EUR_FLOO_000104,35.0,-0.73,1.673,1.957,2.411,0.271,0.456,0.603,flood,meters
EUR_FLOO_000105,35.0,-0.64,1.721,2.126,2.663,0.345,0.37,0.764,flood,meters
EUR_FLOO_000106,35.0,-0.55,1.785,2.087,2.708,0.303,0.456,0.758,flood,meters
EUR_FLOO_000107,35.0,-0.46,1.788,2.153,2.688,0.278,0.323,0.611,flood,meters
EUR_FLOO_000108,35.0,-0.37,1.74,2.058,2.744,0.361,0.488,0.606,flood,meters
EUR_FLOO_000109,35.0,-0.28,1.496,1.815,2.306,0.334,0.351,0.515,flood,meters
EUR_FLOO_000110,35.0,-0.19,1.769,2.194,2.836,0.373,0.354,0.59,flood,meters
EUR_FLOO_000111,35.0,-0.1,1.531,1.901,2.432,0.339,0.292,0.607,flood,meters
EUR_FLOO_000112,35.0,-0.01,1.641,2.045,2.555,0.296,0.439,0.673,flood,meters
EUR_FLOO_000113,35.0,0.08,1.533,1.772,2.281,0.277,0.288,0.663,flood,meters
EUR_FLOO_000114,35.0,0.17,1.658,1.918,2.356,0.273,0.469,0.51,flood,meters
EUR_FLOO_000115,35.0,0.26,1.577,1.955,2.438,0.367,0.416,0.511,flood,meters
EUR_FLOO_000116,35.0,0.35,1.552,1.9,2.512,0.304,0.446,0.587,flood,meters
EUR_FLOO_000117,35.0,0.44,1.559,1.933,2.416,0.321,0.383,0.557,flood,meters
EUR_FLOO_000118,35.0,0.53,1.436,1.69,2.165,0.341,0.366,0.519,flood,meters
EUR_FLOO_000119,35.0,0.62,1.541,1.839,2.296,0.345,0.364,0.57,flood,meters
EUR_FLOO_000120,35.0,0.71,1.57,1.838,2.295,0.318,0.382,0.589,flood,meters
EUR_FLOO_000121,35.0,0.8,1.411,1.755,2.361,0.296,0.326,0.517,flood,meters
EUR_FLOO_000122,35.0,0.89,1.362,1.647,2.149,0.286,0.327,0.567,flood,meters
EUR_FLOO_000123,35.0,0.98,1.601,1.873,2.499,0.369,0.367,0.679,flood,meters
EUR_FLOO_000124,35.0,1.07,1.491,1.812,2.377,0.268,0.416,0.601,flood,meters
EUR_FLOO_000125,35.0,1.16,1.6,1.927,2.333,0.269,0.429,0.528,flood,meters
EUR_FLOO_000126,35.0,1.25,1.42,1.699,2.259,0.227,0.388,0.635,flood,meters
EUR_FLOO_000127,35.0,1.34,1.503,1.782,2.304,0.267,0.38,0.527,flood,meters
EUR_FLOO_000128,35.0,1.43,1.465,1.823,2.251,0.365,0.421,0.581,flood,meters
EUR_FLOO_000129,35.0,1.52,1.374,1.586,1.986,0.283,0.262,0.474,flood,meters
EUR_FLOO_000130,35.0,1.61,1.348,1.662,2.199,0.248,0.255,0.536,flood,meters
EUR_FLOO_000131,35.0,1.7,1.595,1.888,2.413,0.24,0.443,0.688,flood,meters
EUR_FLOO_000132,35.0,1.79,1.545,1.817,2.278,0.371,0.281,0.649,flood,meters
EUR_FLOO_000133,35.0,1.88,1.582,1.833,2.429,0.376,0.437,0.689,flood,meters
EUR_FLOO_000134,35.0,1.97,1.395,1.605,1.99,0.253,0.36,0.5,flood,meters
EUR_FLOO_000135,35.0,2.06,1.344,1.61,2.134,0.306,0.298,0.458,flood,meters
EUR_FLOO_000136,35.0,2.15,1.328,1.601,1.928,0.242,0.36,0.564,flood,meters
EUR_FLOO_000137,35.0,2.24,1.59,1.962,2.559,0.267,0.327,0.709,flood,meters
EUR_FLOO_000138,35.0,2.33,1.611,1.922,2.489,0.333,0.445,0.667,flood,meters
EUR_FLOO_000139,35.0,2.42,1.413,1.696,2.16,0.352,0.309,0.48,flood,meters
EUR_FLOO_000140,35.0,2.51,1.549,1.79,2.404,0.32,0.339,0.538,flood,meters
EUR_FLOO_000141,35.0,2.6,1.445,1.661,2.012,0.313,0.269,0.446,flood,meters
EUR_FLOO_000142,35.0,2.69,1.563,1.855,2.494,0.265,0.366,0.711,flood,meters
EUR_FLOO_000143,35.0,2.78,1.475,1.698,2.067,0.332,0.361,0.557,flood,meters
EUR_FLOO_000144,35.0,2.87,1.356,1.63,2.151,0.318,0.303,0.64,flood,meters
EUR_FLOO_000145,35.0,2.96,1.504,1.844,2.423,0.27,0.35,0.68,flood,meters
EUR_FLOO_000146,35.0,3.05,1.415,1.731,2.305,0.23,0.408,0.538,flood,meters
EUR_FLOO_000147,35.0,3.14,1.473,1.81,2.348,0.317,0.287,0.68,flood,meters
EUR_FLOO_000148,35.0,3.23,1.555,1.9,2.371,0.282,0.353,0.608,flood,meters
EUR_FLOO_000149,35.0,3.32,1.519,1.818,2.192,0.37,0.357,0.588,flood,meters
EUR_FLOO_000150,35.0,3.41,1.315,1.641,2.14,0.244,0.296,0.502,flood,meters
EUR_FLOO_000151,35.0,3.5,1.316,1.546,1.925,0.288,0.348,0.391,flood,meters
EUR_FLOO_000152,35.0,3.59,1.461,1.769,2.179,0.274,0.298,0.551,flood,meters
EUR_FLOO_000153,35.0,3.68,1.511,1.802,2.257,0.253,0.281,0.655,flood,meters
EUR_FLOO_000154,35.0,3.77,1.401,1.727,2.29,0.297,0.397,0.558,flood,meters
EUR_FLOO_000155,35.0,3.86,1.424,1.698,2.204,0.219,0.351,0.483,flood,meters
EUR_FLOO_000156,35.0,3.95,1.368,1.675,2.257,0.31,0.378,0.598,flood,meters
EUR_FLOO_000157,35.0,4.04,1.226,1.437,1.916,0.198,0.268,0.412,flood,meters
EUR_FLOO_000158,35.0,4.13,1.339,1.63,2.152,0.3,0.331,0.472,flood,meters
EUR_FLOO_000159,35.0,4.22,1.208,1.5,1.826,0.242,0.287,0.518,flood,meters
EUR_FLOO_000160,35.0,4.31,1.399,1.687,2.13,0.234,0.387,0.472,flood,meters
EUR_FLOO_000161,35.0,4.4,1.336,1.58,1.914,0.317,0.317,0.46,flood,meters
EUR_FLOO_000162,35.0,4.49,1.41,1.749,2.152,0.268,0.267,0.513,flood,meters
EUR_FLOO_000163,35.0,4.58,1.267,1.574,2.071,0.309,0.364,0.526,flood,meters
EUR_FLOO_000164,35.0,4.67,1.348,1.678,2.075,0.276,0.348,0.605,flood,meters
EUR_FLOO_000165,35.0,4.76,1.361,1.599,2.033,0.305,0.369,0.588,flood,meters
EUR_FLOO_000166,35.0,4.85,1.443,1.764,2.326,0.277,0.412,0.656,flood,meters
EUR_FLOO_000167,35.0,4.94,1.43,1.767,2.294,0.261,0.37,0.549,flood,meters
EUR_FLOO_000168,35.0,5.03,1.491,1.817,2.404,0.357,0.336,0.698,flood,meters
EUR_FLOO_000169,35.0,5.12,1.302,1.552,2.026,0.282,0.353,0.463,flood,meters
EUR_FLOO_000170,35.0,5.21,1.505,1.856,2.488,0.37,0.298,0.512,flood,meters
EUR_FLOO_000171,35.0,5.3,1.524,1.867,2.244,0.236,0.404,0.595,flood,meters
EUR_FLOO_000172,35.0,5.39,1.351,1.622,2.043,0.3,0.336,0.429,flood,meters
EUR_FLOO_000173,35.0,5.48,1.409,1.726,2.15,0.258,0.384,0.481,flood,meters
EUR_FLOO_000174,35.0,5.57,1.507,1.875,2.398,0.311,0.37,0.683,flood,meters
EUR_FLOO_000175,35.0,5.66,1.333,1.609,2.035,0.289,0.274,0.466,flood,meters
EUR_FLOO_000176,35.0,5.75,1.408,1.683,2.106,0.255,0.254,0.58,flood,meters
EUR_FLOO_000177,35.0,5.84,1.484,1.794,2.303,0.325,0.421,0.572,flood,meters
EUR_FLOO_000178,35.0,5.93,1.595,1.843,2.307,0.313,0.451,0.52,flood,meters
EUR_FLOO_000179,35.0,6.02,1.593,1.905,2.312,0.33,0.289,0.618,flood,meters
EUR_FLOO_000180,35.0,6.11,1.582,1.956,2.559,0.355,0.334,0.522,flood,meters
EUR_FLOO_000181,35.0,6.2,1.548,1.926,2.434,0.36,0.478,0.541,flood,meters
EUR_FLOO_000182,35.0,6.29,1.556,1.895,2.515,0.374,0.411,0.698,flood,meters
EUR_FLOO_000183,35.0,6.38,1.37,1.595,2.064,0.224,0.343,0.56,flood,meters
EUR_FLOO_000184,35.0,6.47,1.335,1.636,2.116,0.305,0.362,0.595,flood,meters
EUR_FLOO_000185,35.0,6.56,1.336,1.643,2.082,0.21,0.372,0.566,flood,meters
EUR_FLOO_000186,35.0,6.65,1.431,1.713,2.076,0.339,0.404,0.473,flood,meters
EUR_FLOO_000187,35.0,6.74,1.288,1.516,2.023,0.241,0.331,0.406,flood,meters
EUR_FLOO_000188,35.0,6.83,1.32,1.636,2.06,0.285,0.384,0.553,flood,meters
EUR_FLOO_000189,35.0,6.92,1.23,1.52,1.951,0.205,0.263,0.567,flood,meters
EUR_FLOO_000190,35.0,7.01,1.414,1.65,2.199,0.237,0.4,0.498,flood,meters
EUR_FLOO_000191,35.0,7.1,1.252,1.546,2.058,0.29,0.342,0.415,flood,meters
EUR_FLOO_000192,35.0,7.19,1.296,1.59,1.916,0.278,0.271,0.407,flood,meters
EUR_FLOO_000193,35.0,7.28,1.141,1.426,1.833,0.183,0.312,0.38,flood,meters
EUR_FLOO_000194,35.0,7.37,1.197,1.473,1.931,0.289,0.331,0.577,flood,meters
EUR_FLOO_000195,35.0,7.46,1.151,1.384,1.695,0.28,0.248,0.489,flood,meters
EUR_FLOO_000196,35.0,7.55,1.153,1.428,1.847,0.209,0.303,0.462,flood,meters
EUR_FLOO_000197,35.0,7.64,1.279,1.496,1.98,0.207,0.303,0.468,flood,meters
EUR_FLOO_000198,35.0,7.73,1.164,1.439,1.895,0.217,0.332,0.514,flood,meters
EUR_FLOO_000199,35.0,7.82,1.411,1.671,2.225,0.342,0.332,0.633,flood,meters
EUR_FLOO_000200,35.0,7.91,1.238,1.439,1.912,0.219,0.242,0.535,flood,meters
EUR_FLOO_000201,35.0,8.0,1.36,1.66,2.106,0.206,0.395,0.564,flood,meters
EUR_FLOO_000202,35.0,8.09,1.179,1.394,1.713,0.205,0.219,0.474,flood,meters
EUR_FLOO_000203,35.0,8.18,1.228,1.524,1.907,0.242,0.375,0.408,flood,meters
EUR_FLOO_000204,35.0,8.27,1.254,1.461,1.91,0.274,0.357,0.494,flood,meters
EUR_FLOO_000205,35.0,8.36,1.308,1.532,1.982,0.23,0.316,0.45,flood,meters
EUR_FLOO_000206,35.0,8.45,1.366,1.697,2.133,0.213,0.337,0.576,flood,meters
EUR_FLOO_000207,35.0,8.54,1.38,1.638,2.144,0.229,0.357,0.632,flood,meters
EUR_FLOO_000208,35.0,8.63,1.309,1.633,2.01,0.223,0.313,0.601,flood,meters
EUR_FLOO_000209,35.0,8.72,1.529,1.78,2.228,0.337,0.3,0.665,flood,meters
EUR_FLOO_000210,35.0,8.81,1.393,1.674,2.197,0.341,0.383,0.656,flood,meters
EUR_FLOO_000211,35.0,8.9,1.538,1.898,2.393,0.343,0.373,0.62,flood,meters
EUR_FLOO_000212,35.0,8.99,1.532,1.853,2.247,0.314,0.398,0.531,flood,meters
EUR_FLOO_000213,35.0,9.08,1.451,1.68,2.158,0.305,0.375,0.477,flood,meters
EUR_FLOO_000214,35.0,9.17,1.408,1.683,2.25,0.228,0.343,0.621,flood,meters
EUR_FLOO_000215,35.0,9.26,1.473,1.737,2.101,0.288,0.317,0.445,flood,meters
EUR_FLOO_000216,35.0,9.35,1.378,1.589,1.983,0.263,0.382,0.532,flood,meters
EUR_FLOO_000217,35.0,9.44,1.393,1.66,2.055,0.34,0.41,0.421,flood,meters
EUR_FLOO_000218,35.0,9.53,1.393,1.724,2.073,0.224,0.427,0.593,flood,meters
EUR_FLOO_000219,35.0,9.62,1.634,1.957,2.443,0.407,0.323,0.717,flood,meters
EUR_FLOO_000220,35.0,9.71,1.587,1.866,2.413,0.39,0.405,0.487,flood,meters
EUR_FLOO_000221,35.0,9.8,1.504,1.744,2.098,0.322,0.386,0.572,flood,meters
EUR_FLOO_000222,35.0,9.89,1.464,1.728,2.158,0.235,0.274,0.544,flood,meters
EUR_FLOO_000223,35.0,9.98,1.53,1.771,2.196,0.297,0.37,0.653,flood,meters
EUR_FLOO_000224,35.0,10.07,1.54,1.789,2.194,0.25,0.402,0.464,flood,meters
EUR_FLOO_000225,35.0,10.16,1.656,2.018,2.464,0.381,0.361,0.626,flood,meters
EUR_FLOO_000226,35.0,10.25,1.722,2.048,2.622,0.39,0.454,0.693,flood,meters
EUR_FLOO_000227,35.0,10.34,1.662,2.028,2.433,0.338,0.472,0.61,flood,meters
EUR_FLOO_000228,35.0,10.43,1.534,1.853,2.493,0.301,0.412,0.733,flood,meters
EUR_FLOO_000229,35.0,10.52,1.662,2.006,2.541,0.302,0.431,0.661,flood,meters
EUR_FLOO_000230,35.0,10.61,1.627,2.014,2.517,0.367,0.388,0.576,flood,meters
EUR_FLOO_000231,35.0,10.7,1.494,1.861,2.377,0.331,0.295,0.692,flood,meters
EUR_FLOO_000232,35.0,10.79,1.634,1.935,2.598,0.343,0.447,0.596,flood,meters
EUR_FLOO_000233,35.0,10.88,1.552,1.828,2.289,0.366,0.291,0.513,flood,meters
EUR_FLOO_000234,35.0,10.97,1.719,2.145,2.697,0.358,0.495,0.792,flood,meters
EUR_FLOO_000235,35.0,11.06,1.648,2.032,2.552,0.33,0.49,0.57,flood,meters
EUR_FLOO_000236,35.0,11.15,1.688,2.049,2.716,0.379,0.405,0.696,flood,meters
EUR_FLOO_000237,35.0,11.24,1.466,1.799,2.243,0.33,0.426,0.453,flood,meters
EUR_FLOO_000238,35.0,11.33,1.743,2.077,2.801,0.436,0.472,0.758,flood,meters
EUR_FLOO_000239,35.0,11.42,1.566,1.84,2.247,0.381,0.325,0.595,flood,meters
EUR_FLOO_000240,35.0,11.51,1.47,1.741,2.267,0.309,0.316,0.57,flood,meters
EUR_FLOO_000241,35.0,11.6,1.435,1.724,2.254,0.344,0.279,0.599,flood,meters
EUR_FLOO_000242,35.0,11.69,1.553,1.875,2.291,0.255,0.335,0.476,flood,meters
EUR_FLOO_000243,35.0,11.78,1.694,1.991,2.608,0.261,0.34,0.781,flood,meters
EUR_FLOO_000244,35.0,11.87,1.615,1.903,2.523,0.245,0.416,0.711,flood,meters
EUR_FLOO_000245,35.0,11.96,1.709,2.006,2.589,0.332,0.341,0.725,flood,meters
EUR_FLOO_000246,35.0,12.05,1.503,1.797,2.285,0.359,0.27,0.571,flood,meters
EUR_FLOO_000247,35.0,12.14,1.632,1.88,2.286,0.306,0.397,0.571,flood,meters
EUR_FLOO_000248,35.0,12.23,1.711,2.006,2.68,0.396,0.489,0.667,flood,meters
EUR_FLOO_000249,35.0,12.32,1.484,1.835,2.234,0.266,0.445,0.587,flood,meters
EUR_FLOO_000250,35.0,12.41,1.566,1.843,2.406,0.363,0.392,0.55,flood,meters
EUR_FLOO_000251,35.0,12.5,1.612,1.859,2.317,0.321,0.431,0.687,flood,meters
EUR_FLOO_000252,35.0,12.59,1.485,1.727,2.145,0.316,0.305,0.544,flood,meters
EUR_FLOO_000253,35.0,12.68,1.624,1.955,2.598,0.316,0.42,0.528,flood,meters
EUR_FLOO_000254,35.0,12.77,1.703,2.116,2.644,0.37,0.429,0.749,flood,meters
EUR_FLOO_000255,35.0,12.86,1.542,1.844,2.487,0.235,0.357,0.529,flood,meters
EUR_FLOO_000256,35.0,12.95,1.616,1.923,2.332,0.323,0.468,0.636,flood,meters
EUR_FLOO_000257,35.0,13.04,1.687,2.064,2.73,0.41,0.41,0.803,flood,meters
EUR_FLOO_000258,35.0,13.13,1.483,1.708,2.136,0.299,0.384,0.53,flood,meters
EUR_FLOO_000259,35.0,13.22,1.582,1.945,2.51,0.325,0.441,0.751,flood,meters
EUR_FLOO_000260,35.0,13.31,1.511,1.845,2.396,0.327,0.447,0.606,flood,meters
EUR_FLOO_000261,35.0,13.4,1.559,1.794,2.405,0.359,0.294,0.623,flood,meters
EUR_FLOO_000262,35.0,13.49,1.653,2.06,2.767,0.411,0.452,0.616,flood,meters
EUR_FLOO_000263,35.0,13.58,1.533,1.794,2.399,0.284,0.441,0.526,flood,meters
EUR_FLOO_000264,35.0,13.67,1.561,1.832,2.431,0.242,0.424,0.582,flood,meters
EUR_FLOO_000265,35.0,13.76,1.412,1.69,2.06,0.246,0.35,0.504,flood,meters
EUR_FLOO_000266,35.0,13.85,1.537,1.913,2.533,0.291,0.325,0.633,flood,meters
EUR_FLOO_000267,35.0,13.94,1.383,1.643,2.165,0.215,0.313,0.473,flood,meters
EUR_FLOO_000268,35.0,14.03,1.59,1.95,2.585,0.266,0.4,0.753,flood,meters
EUR_FLOO_000269,35.0,14.12,1.381,1.683,2.041,0.283,0.307,0.47,flood,meters
EUR_FLOO_000270,35.0,14.21,1.625,2.013,2.599,0.261,0.332,0.767,flood,meters
EUR_FLOO_000271,35.0,14.3,1.61,1.959,2.605,0.328,0.356,0.757,flood,meters
EUR_FLOO_000272,35.0,14.39,1.405,1.617,1.977,0.283,0.257,0.465,flood,meters
EUR_FLOO_000273,35.0,14.48,1.616,1.928,2.508,0.319,0.342,0.74,flood,meters
EUR_FLOO_000274,35.0,14.57,1.496,1.817,2.349,0.307,0.374,0.531,flood,meters
